1;1
2;0
3;1
4;1.41421
5;1.73205
6;1.41421
7;2.23607
8;2
9;2.23607
10;1.41421
11;1
12;0
13;1
14;1.41421
15;1
16;1.41421
17;1.73205
18;2.44949
19;2.23607
20;3.16228
21;3.31662
22;3.74166
23;3.60555
24;3.74166
25;3
26;3.74166
27;3.31662
28;3.16228
29;3.60555
30;4.24264
31;4.3589
32;4.24264
33;4.3589
34;4.69042
35;4.12311
36;3.74166
37;3
38;3.74166
39;4.3589
40;4.24264
41;5
42;4.47214
43;5
44;5.09902
45;5.91608
46;5.83095
47;5.91608
48;6.78233
49;7.28011
50;6.48074
51;6.7082
52;6.16441
53;7
54;6.16441
55;5.91608
56;5.09902
57;4.3589
58;3.74166
59;4.3589
60;4.69042
61;5.19615
62;5.83095
63;6.40312
64;7.07107
65;6.55744
66;6.16441
67;5.38516
68;4.69042
69;5.19615
70;4.69042
71;4.12311
72;4.69042
73;4.12311
74;4.69042
75;5.38516
76;5.83095
77;5.19615
78;5.83095
79;5.38516
80;6.16441
81;5.38516
82;5.83095
83;6.40312
84;6.9282
85;6.40312
86;6.9282
87;7.54983
88;8.12404
89;7.68115
90;7.07107
91;6.40312
92;6
93;5.74456
94;6.48074
95;5.91608
96;6.16441
97;6.55744
98;6.16441
99;6.55744
100;6.16441
